description,id,question
"
            i was hoping someone could help me with this problem:
I have a xml that I need to ""convert"" into a different structure and group the data using 3 elements.
I am able to to group the data, ...
        ",[1],xslt 1.0 grouping on 3 elements issue
"
            I am trying to intercept a CREATE TABLE by an event trigger in PostGreSQL, to forbid the creation of table that does not comply to some naming rules. My code is as follow:
CREATE OR REPLACE FUNCTION ...
        ",[2],PG DDL trigger does not works properly
"
            I am ingesting a pdf so I can OCR it. The simple code below produces the OSError provided below. I have tesseract, ImageMagick, and ghost script installed. I also went to my policy.xml and inserted
&...
        ",[3],Wand.image giving OSError when trying to turn pdf into .jpeg
"
            I would like to get help with RenderItem in React Native.
I have a list of hours which handled in this function(added a link to the code because its over 100+ lines)
h ttps://p aste.ofcode.org/...
        ",[4],handling RenderItem in react native
"
            I have a Firestore Document Data with the following structure as shown below. I want to update the comments array.

I have tried dot notation but because I need the selected index, it does not work ...
        ",[5],How to update nested array inside the object in Firestore
"
            I am currently upgrading some very old ESLint and Babel packages and ESLint has started complaining about my shorthand React Fragments and I'm not sure why?
When using <React.Fragment> I get an ...
        ",[6],Unexpected token when linting shorthand react fragments <></> (eslint/babel)
"
            I have a parent activity that stores several fragments, in the activity's onCreate I launch the first fragment
FatherFragment fatherFragment = new FatherFragment ();
RegisterActivity.this....
        ",[7],fragmentTransaction.commit() calls onCreate of parent Activity
"
            I am using the ChoroplethrZip package to create a zipcode-based choropleth of Northeast Florida. When I create the map, the St. Johns River does not appear. Instead, the zipcode areas seem to overlap ...
        ",[8],River not appearing on Choropleth
"
            I have a Cisco switch WS-C2960S-48TS-L connected to 1Gbps internet link. The problem is I can't get more than 100Mbps on internet. Any ideea why?
        ",[9],Cisco switch speed dilemma
"
            I am new to we development. I have a doubt can any body help me with my doubt or can any one tell me where I can find my answer?    so as we know in object destructing we must use the same property ...
        ",[10],how is it possible that we can destructe an object using any property name in React?
"
            I already have registered app, related to my account and got token.
Now I can get my LinkedIn profile using this request: https://api.linkedin.com/v2/me.
But how can I get any messages from my ...
        ",[11],How to get messages from my LinkedIn account using API
"
            Here is the code,  the legend for Gender is not showing up on my plot.
ggplot(Experience, aes(fill=factor(Gender),x=Exper, y=Sal95, size= Rank))+
geom_point(stroke= 0.5, color=6, shape=21, alpha=0.4)+...
        ",[12],How do I resolve error message - aes fill factor?
"
            I'm a beginner to Android and trying to create a simple animation game using a SurfaceView.
In all examples I've seen, developers seem place their SurfaceView in their own FrameLayout, and nest them ...
        ",[13],Why is SurfaceView always in a FrameLayout?
"
            in SQL, SYSTIMESTAMP returns the system date.
SELECT SYSTIMESTAMP FROM DUAL;

SYSTIMESTAMP
------------------------------------------------------------------
28-MAR-00 12.38.55.538741 PM -08:00

The ...
        ",[14],How to get the SYSTIMESTAMP in mongo db
"
            I have been trying to print the information about whether the equipment is mobile or immobile but for some reason, it isn't showing any output.
namespace ConsoleApp6
{
public class Equipment
{
public ...
        ",[15],Printing some data in C# using LINQ
"
            I have made my excel sheet which runs on randbetween function. Now, my cell A1,B1,... till E1 have either ""true"" or ""false"" in them. These true and false are completely random and ...
        ",[16],Excel refresh until?
"
            In project we have a lot of enum that need to be serializable and
deserializable in/from String. So I wrote the extension:
extension EnumSerializer on MyEnum {
  String getString() => this.toString(...
        ",[17],One extension for several types
"
            I know maven dependencies have different scopes.
But what is Managed Dependencies?
        ",[18],What is managed dependencies in maven repository website?
"
            I have a mongoDB with companies having the following structure:
""name"": ""CORESITE"",
""isin"": ""us21870q1058"",
""XDateInserted"": ""2020-09-16 14:19&...
        ",[19],MongoDB find objects sorted by string dateTime
"
            I am using sinon for unit testing a nodejs project. I want to write unit tests for the code below and check the arguments passed to the callback function based on the results of the getPromise() ...
        ",[20],Unit testing a callback inside a nested promise
"
            There was no problem when I ran it on the emulator, but when I tested it by connecting my smartphone, I got an error on the dial side.
It turns out that ""dialog.dismiss(); "" is caused when ...
        ",[21],how to solve “android.view.WindowLeaked : Activity”
"
            Hello fine people of Stackoverflow!
I have a problem. I am trying to change an instance variable (which is on it's own a class instance) and for some reason, it changes the same instance variable for ...
        ",[22],Declaring and changing class instances inside another class
"
            How can install the SAP Business One Add-On Project template in Visual Studio 2019?
I need to build a Add-On with C# but I don't know how to the templates or witch king of c# project use for that.
...
        ",[23],SAP B1 studio for ms visual studio 2019
"
            How can I use the list key value in when without using jinja2 templating?
Below is a example that does not work:
- name: ""Give sudo rights""
  user: 
    group: ""{{users[item].username}}&...
        ",[24],Use list key value in when in Ansible
"
            I want to perform an action when user clicks return key (EnterKey) in focused EditText.
This is the only EditText in my fragment. My purpose is to get the text from that EditText and clear the ...
        ",[25],How to define custon action for EnterKey of Soft Keyboard for EditText?
"
            I have read this answer here, but what would happend if you keep adding strings to the same variable? after reching the max_value. Assuming the computer have enough resources to do this.
For example:
 ...
        ",[26],max amount of data a String can hold in java
"
            Which slim Docker image supporting Java 15 should be used for a Rasperry Pi3 B+?
Background information:
I was using the Docker image openjdk:8-jre-alpine, which worked pretty fine.
Now the plan is to ...
        ",[27],Which slim Docker image supporting Java 15 should be used for Rasperry Pi3 B+
"
            I have a Home.php controller and terms method in it. I have a url like this: https://www.example.com/terms and it works fine.
My routes.php:
$route['default_controller']   = 'home';
$route['...
        ",[28],CodeIgniter URI routing with “#” as path parameter
"
            I want to make a game in java kinda like Minecraft Java Edition. I want to remake it to make my own client. How can I setup libraries with LWJGL. Thanks! :D
        ",[29],How to setup LWGJL 3?
"
            Can you guys please help me with this code. I know this is basic but I am now really obsessed with it. I am trying to implement a very simple version of mergesort, but the output is all wrong. Please ...
        ",[30],A bug in merge sort
"
            Consider the following example:
public class LambdaArgsTest {
    private static void display(Supplier<?> arg) {
        try {
            // this is the place where the Exception(""wrong&...
        ",[31],Why must I catch exceptions when providing lambda argument?
"
            my error is quite common and I have already searched the site but all the other questions are not the same as mine. As you can see from the following image I am correctly setting the body of my call:

...
        ",[32],HTTP Status 415 – The origin server is refusing to service a json
"
            I have a big table with columns like that :
product   customID
1 product1     10_12
2 product1     132_24
3 product1     12_344
4 product2     122_14
5 product2     10_344
6 product3     10_224
7 ...
        ",[33],Find the number of occurences of a product in a column based on different number of customers
"
            I need to access the value of the getLength function. It is returning undefined value. How can I access the value here?
My code is:
const verifyValue = () => {
const selector = 'nz-option-container ...
        ",[34],How can I access the value defined inside the cy.get() in cypress/Typescript?
"
            I'm trying to pass items from my Combobox (which is binded to my Model object's lists) to my button. My problem is that I'm new to Caliburn.Micro + WPF and not quite sure how to subscribe/pass the ...
        ",[35],Caliburn.Micro - Passing combobox items to a button
"
            Here is an MWE for resampling a time series in xarray vs. pandas. The 10Min resample takes 6.8 seconds in xarray and 0.003 seconds in pandas. Is there some way to get the Pandas speed in xarray? ...
        ",[36],How can I speed up xarray resample (much slower than pandas resample)
"
            I wanted to build a custom-filter for my v-data-table (containing books) which

allows to narrow down search results by entering multiple space separated search terms
separates compound words with ...
        ",[37],vuetify v-data-table custom-filter questions
"
            I'm very beginner with K8S and I've a question about the labels with kubernetes. On youtube video (In french here), I've seen that :
The man create three deploys with these commands and run the ...
        ",[38],Add some labels to a deployment?
"
            I'm trying to remove brakets from a string using replace() and Regex.but i can't figure out how.
the string looks like this:      ""839f85a21b33b34ca0a810f0257bed6dc49be38bo1602257541""
and i ...
        ",[39],Remove brakets from string react native
"
            i wrote a simple GUI program and now i want to convert it to exe , so i went to google and i got to know that everybody suggests to use Launch4j.I watched some tutorials , some articles and websites ...
        ",[40],How to properly use Launch4J
"
            I have a Laravel Vue.js project. In localhost my PHP version is 7.2.19 and live server php version is 7.2. I have customized register.php and RegisterController.php file. Everything is working ...
        ",[41],Laravel Registration error when project on live server but localhost is working fine
"
            I am trying to download csv file from below URL using Selenum webdriver.
nse bulk deals
screenshot nse bulk deals
I tried most of the ways to click ""Get Data"" button and it's clickable. This ...
        ",[42],Button disabled by default - selenium web driver
"
            I am trying to implement QuickSort in Kotlin on IntelliJ (to later use it in an Android Project).
I searched a lot of different resources and tried various things that led me to stack overflows and I ...
        ",[43],Implementation of QuickSort in Kotlin
"
            I need a hierarchical mysql (or any) database
just like a file system - with root/parent/child... structure
Problem with file system is that there is no possibility to move files or folders up and ...
        ",[44],how to get a hierarchical database or file system with custom sort order
"
            I am working for the Gartner Inc a research & advisory IT firm.
We are under process of migrating Exchange Web Services to Microsoft Graph.
We found an issue where New Microsoft Graph APIs are not ...
        ",[45],Critical Issue: Microsoft Graph APIs are not able to read the Exchange Web Services created outlook items by set extended properties
"
            Most Python packages follow the convention that the version is provided as a string at [package_name].version.version. Let's use Numpy as an example. Say I wanted to import Numpy but ensure that the ...
        ",[46],Ensuring minimum version for imported Python package
"
            I'm new to Vue.js and following a tutorial. I'm trying out the v-for loop using the data in the json below. However nothing is being rendered in the div and therefore the page. I can't spot any syntax ...
        ",[47],v-for loop not returning data Vue.js
"
            I am trying to get a label in python to show me the text (""Today"" + day of the week we are in), the code I implement is:
self.label.setText (""Today"" + datetime.date.today ())
but ...
        ",[48],How to show with python current day in label
"
            How to create border in A4 page and How to make rounded fo:block.
<fo:root xmlns:fo=""http://www.w3.org/1999/XSL/Format"" xmlns:fox=""http://xmlgraphics.apache.org/fop/extensions""&...
        ",[49],How to create border in A4 page and fo:block rounded corner in using - XSL-FO
"
            I am having trouble while rendering multiple markers on the google map through the map function as the markers which I have hard coded are shown on the map while the dataArr array containing lat and ...
        ",[50],Unable to load multiple markers on react-google-maps using map function
description,id,question
"
            In the code below is a partial list of items that could be updated. I select the ADI code from a MySQL database and format it as a drop-down list when updating.
Is there a way to shorten this?
PHP ...
        ",[1],PHP Is there a way to shorten this list of options when updating a record?
"
            Found this task online and wondered if anyone could write a working program for it, heres the task:
A company runs a private car park near an airport. The car park has 10 rows numbered 1-20 and each ...
        ",[2],Subroutine task
"
            I am building an electron app and planning to create product keys using electronjs/nodejs similar to Microsoft Office keys XXXX-XXXX-XXXX-XXXX. My app will work on offline so i like user can activate ...
        ",[3],Can i create product keys for my software?
"
            I have the following shiny app layout and I'm trying to extend the height of the Sidebar, Main, and Right columns. I tried adding height: 100% but it didn't work.
I tried using height: 100vh, but it ...
        ",[4],How to extend fluidRow height to full vertical length of the screen?
"
            On Azure AD, we have naming convention on each Azure AD Group to tell what location and role a user belongs to.
For example: below is the name of each Group, which tells the location and role
Location:...
        ",[5],Optimisation: Retrieve all users under a groups and get all group for that users via Microsoft Graph SDK
"
            I'm struggling with this for a long time without finding where I'm wrong (I know I'm wrong).
I have one API call with the location of the phone (this one is working), but I want the same API call with ...
        ",[6],SwiftUI - Location in API call with CLLocationManager or CLGeocoder
"
            I have a table that looks like this, built using https://datatables.net/, with around 100 rows or more. The highlighted row is saved whenever users click save and the highlight will stay there when ...
        ",[7],Change default view to view the highlighted row of a table instead of from the top?
"
            I need to write a Query in which I have to Find the most common interest of users. (The interest with largest number of users). Also find the least common interest. I had tried really hard but didn't ...
        ",[8],how to write this sql query in sql server?
"
            I have this initial array:
const initialData = [
  {
    day: 1,
    values: [
      {
        name: 'Roger',
        score: 90,
      },
      {
        name: 'Kevin',
        score: 88,
      },
    ...
        ",[9],How to ReMap an array of object into new array
"
            I need Help on my new first app as a beginner for saving employment information data in Excel upon generating report,(How do I save data in Excel, I have tried using Apache POI but i just able to ...
        ",[10],Writing/Saving data in Excel in Android studio
"
            After next.js and next-redux-wrapper have been updated, code doesn't work. In getInitialProps call store.dispatch to update, but after all redux store is empty
I need to get session info from request ...
        ",[11],How could be updated Redux store in getInitialProps of Next.js via next-redux-wrapper?
"
            The sequence of numbers is generated as follows. Instead of checking division by 3 and 5, we have designated, say, three numbers 2, 4, 5. Whenever the input is divisible by 2, our output will include ...
        ",[12],find lowest possible values
"
            Here is my situation:

Building a website in two different repositories (backend and frontend).
The backend is written almost entirely in typescript, whereas the frontend is written entirely in ...
        ",[13],Trouble writing a custom typescript package for frontend javascript and backend typescript
"
            Basically, I am new to Python and I have made a program that spams a word again and again. I have made a GUI version of it and compiled it to .exe with PyInstaller but I also want to compile the non-...
        ",[14],Can I compile Python CLI program to exe and run it?
"
            I already posted a question but it was closed: jQuery Ajax call posts wrong timestamp.
I did an AJAX call with jQuery to a PHP file to save a timestamp into my database. The thing was that the ...
        ",[15],Javascript returns false timestamp
"
            I am using hapi fhir 5.1.0 version jpa server(hapi-fhir-jpa-server-starter). As per the description, this version contains elastic search library for text search.
Question is how to configure elastic ...
        ",[16],hapi fhir elastic search how to configure
"
            The following code throws an InvalidOperationException with the message Segment doesn't have any more events.  Throwing an exception if there are no more segments seems like a bad implementation.  Am ...
        ",[17],Azure Storage Blob Change Feed exception
"
            I have a Azure Function App with FunctionRuntime v3 and dependency injection.
Normally I inject the logger using
public TestRepositoryy(ILoggerFactory loggerFactory)
{
     _tenantBasedDocumentClient =...
        ",[18],How to use ILogger in DomainObjects?
"
            I tried and searched for hours  (as a starter bash programmer) and i don't know why i get

install.sh: line 34: syntax error: unexpected end of file

The problem was started since i added in the bash ...
        ",[19],Unexpected end of file in bash script - if statement
"
            I have 3 tables - Profiles, Product , Service
Profile has a field document_id,VendorName whose is linked with product (field - author) and service (field - author).
Profile's few document id are ...
        ",[20],I want to join 3 tables with a common column using join and or condition
"
            <picture class=""js-picture-gallery"">
                            <source media=""(min-width: 768px)"" class=""js-img-desktop"" data-srcset=""https://thbr....
        ",[21],How do i click on an element using class value with mechanize in Python?
"
            I'm using dbus for IPC. In order to have exactly one bus throughout the livetime of my program I'm using a singleton here. For the sake of demonstration I'm connecting to NetworkManager but that could ...
        ",[22],pytest-asyncio with singletons causes conflicting event loops
"
            At my application server, I have a stream of Webm chunks coming from browsers that users record live videos. I want to analyze each frame simultaneously. So I used python to create a generator ...
        ",[23],How to use ffmpeg to extract frames from video and read as a list of images in python in memory without writing files
"
            Currently trying to create a generator function that yield one file line at a time while ignoring comment blocks and concatenating lines with a backslash at the end with the following line. So for ...
        ",[24],Yielding concatenated lines with backslash but excluding comment blocks
"
            I am relatively new to C.
Suppose I have a struct called Employee
with the following attributes
{Name,Gender, Birthyear, Salary}
Here is the code for that
typedef struct 
{
  char EmpName [12]; 
  ...
        ",[25],Reading a file into an array of struct in C [closed]
"
            I am trying to use reactive MongoDb with JPA (RxJavaCrudRepository. Is there any sample reference so that I can follow.
implementation(""io.micronaut.mongodb:micronaut-mongo-reactive"")

I ...
        ",[26],Micronaut data with Reactive mongodb + JPA/Hibernate Repository
"
            i use this code in python but i have an error
try:
    if args.disable_ssl_verification:
        service_instance = connect.SmartConnectNoSSL(host=args.host,
                                           ...
        ",[27],python error 'service_instance' referenced before assignment
"
            If someone could point me in the right direction.  I have a homework problem where I need to create a stored procedure that takes in a product name and will check how much a customer is spending.  ...
        ",[28],Getting invalid column name when creating a procedure using multiple if statements
"
            I am trying to bundle some UNIX command in a Perl script so that I can directly run the perl script instead of writing each command in the terminal.
One of the commands include a loading of the tool. ...
        ",[29],Perl: “module load <Tool Name>” not working
"
            My Code:
// Import scanner class
import java.util.Scanner;

// Create class and method
class Main {
public static void main(String[] args) {

Scanner inp = new Scanner(System.in);
System.out.println(&...
        ",[30],What does this particular line in java using indexOf mean?
"
            I'm developing an ASP.NET Core web application using WooCommerce REST APIs (I'm also using the WooCommerceNET library), and I need to implement a search text input field with a simple Search button.
...
        ",[31],How to search through all WooCommerce products/categories…?
"
            I use Quill.js for dynamically created text editors.
I'm using bounds to keep the link editor inside my DIV left/right, but if the user creates a link in the first row of the Quill editor the link ...
        ",[32],How do I get the Quill link editor to appear on TOP of the Quill toolbar?
"
            I am trying to intercept all incoming HTTP requests and process the body attached to these requests in my Spring MVC (not Spring Boot) app. To implement this ""inbound-interceptor"", I am ...
        ",[33],ContentCachingRequestWrapper only captures POST request with Content-Type:application/x-www-form-urlencoded
"
            i was hoping someone could help me with this problem:
I have a xml that I need to ""convert"" into a different structure and group the data using 3 elements.
I am able to to group the data, ...
        ",[34],xslt 1.0 grouping on 3 elements issue
"
            I am trying to intercept a CREATE TABLE by an event trigger in PostGreSQL, to forbid the creation of table that does not comply to some naming rules. My code is as follow:
CREATE OR REPLACE FUNCTION ...
        ",[35],PG DDL trigger does not works properly
"
            I am ingesting a pdf so I can OCR it. The simple code below produces the OSError provided below. I have tesseract, ImageMagick, and ghost script installed. I also went to my policy.xml and inserted
&...
        ",[36],Wand.image giving OSError when trying to turn pdf into .jpeg
"
            I would like to get help with RenderItem in React Native.
I have a list of hours which handled in this function(added a link to the code because its over 100+ lines)
h ttps://p aste.ofcode.org/...
        ",[37],handling RenderItem in react native
"
            I have a Firestore Document Data with the following structure as shown below. I want to update the comments array.

I have tried dot notation but because I need the selected index, it does not work ...
        ",[38],How to update nested array inside the object in Firestore
"
            I am currently upgrading some very old ESLint and Babel packages and ESLint has started complaining about my shorthand React Fragments and I'm not sure why?
When using <React.Fragment> I get an ...
        ",[39],Unexpected token when linting shorthand react fragments <></> (eslint/babel)
"
            I have a parent activity that stores several fragments, in the activity's onCreate I launch the first fragment
FatherFragment fatherFragment = new FatherFragment ();
RegisterActivity.this....
        ",[40],fragmentTransaction.replace().commit() calls onCreate of parent Activity
"
            I am using the ChoroplethrZip package to create a zipcode-based choropleth of Northeast Florida. When I create the map, the St. Johns River does not appear. Instead, the zipcode areas seem to overlap ...
        ",[41],River not appearing on Choropleth
"
            I have a Cisco switch WS-C2960S-48TS-L connected to 1Gbps internet link. The problem is I can't get more than 100Mbps on internet. Any ideea why?
        ",[42],Cisco switch speed dilemma
"
            I have a doubt can any body help me with my doubt or can any one tell me where I can find my answer?
So as we know in object destructing we must use the same property name to destructure. However, in ...
        ",[43],how is it possible that we can destructe an object using any property name in React?
"
            I already have registered app, related to my account and got token.
Now I can get my LinkedIn profile using this request: https://api.linkedin.com/v2/me.
But how can I get any messages from my ...
        ",[44],How to get messages from my LinkedIn account using API
